Receiver;All;2345;1345;1245;1235;1234
1;282.3703242198089;221.67318286161725;199.5394697797907;282.25520367213784;277.865075171386;288.3990291245794
2;162.45922565370057;176.67484257811014;288.00520828623917;332.38531856867564;279.4029348450012;220.3724120664835
3;344.5141506527707;136.57598617619425;335.6322392142924;86.11620056644394;259.3472575524947;684.1461832094074
4;118.46518475906751;122.65398485169571;51.40038910358559;1025.8508663543644;117.8558441486887;169.85876486069242
5;86.90799733051038;102.5426740435415;80.26207074328447;185.29436041067197;84.98235110892143;114.89560478973945
6;187.76048572583105;174.95427974188;178.69247326062728;108.77499712709718;190.76687343456672;175.33396704574957
7;225.22211259110415;623.0337069533236;1085.6569439744767;739.731708121262;736.8812658766675;101.08412338245805
8;316.51224304914336;297.7817993094944;393.3992882555839;313.13894679518864;264.896206088347;224.20972325035325
9;161.63229875244613;47.97916214358062;170.89177862027185;74.62573282722254;108.16191566350885;192.38243163033366
10;225.32421086070622;347.27942639897344;660.3377923457055;109.55363982999378;225.15106040167788;422.7694407120742
