ScanTime: 5432
ReceiverPos: 37 186 96

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-25-29_811;-84;-90;-86;-91;-59;
2023.5.24_22-25-35_296;-85;-91;-69;-88;-59;
2023.5.24_22-25-40_798;-84;-87;-76;-91;-59;
2023.5.24_22-25-46_296;-81;-87;-69;-88;-59;
2023.5.24_22-25-51_794;-84;-88;-70;-90;-58;
2023.5.24_22-25-57_272;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-26-2_756;-82;-90;-82;-92;-59;
2023.5.24_22-26-8_553;-84;-89;-69;-93;-50;
2023.5.24_22-26-14_15;-84;-87;-82;-92;-50;
2023.5.24_22-26-19_497;-84;-88;-82;-91;-59;
2023.5.24_22-26-25_0;-82;-89;-69;-92;-59;
2023.5.24_22-26-30_478;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-26-35_978;-82;-89;-70;-92;-59;
2023.5.24_22-26-41_534;-84;-88;-70;-88;-59;
