ScanTime: 5432
ReceiverPos: 517 587 54

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-51-29_870;-60;-87;-64;-68;-87;
2023.5.24_22-51-35_360;-61;-80;-64;-72;-82;
2023.5.24_22-51-40_871;-78;-82;-63;-69;-77;
2023.5.24_22-51-46_378;-62;-86;-72;-68;-85;
2023.5.24_22-51-51_893;-60;-81;-64;-70;-82;
2023.5.24_22-51-57_373;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-52-2_865;-61;-81;-64;-69;-82;
2023.5.24_22-52-8_341;-61;-81;-63;-68;-82;
2023.5.24_22-52-13_810;-83;-81;-64;-69;-82;
2023.5.24_22-52-19_308;-82;-75;-65;-70;-82;
2023.5.24_22-52-24_807;-61;-83;-63;-69;-76;
2023.5.24_22-52-30_284;noVal;noVal;noVal;noVal;-76;
2023.5.24_22-52-35_761;-60;-77;-64;-69;-77;
2023.5.24_22-52-41_276;-61;-82;-64;-69;-82;
