ScanTime: 5432
ReceiverPos: 712 450 94

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-4-49_219;-68;-65;-87;-60;-87;
2023.5.24_23-4-54_703;-64;-64;-81;-60;-84;
2023.5.24_23-5-0_182;-74;-65;-81;-60;-89;
2023.5.24_23-5-5_681;-68;-69;-89;-60;-89;
2023.5.24_23-5-11_190;-63;-65;-94;-60;-88;
2023.5.24_23-5-16_675;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-5-22_176;-63;-65;-83;-59;-90;
2023.5.24_23-5-27_656;-68;-66;-77;-59;-93;
2023.5.24_23-5-33_135;-68;-65;-80;-62;-90;
2023.5.24_23-5-38_640;noVal;-65;-85;-60;-90;
2023.5.24_23-5-44_169;-67;-69;-82;-60;-88;
2023.5.24_23-5-49_676;-68;noVal;noVal;noVal;noVal;
2023.5.24_23-5-55_162;-68;-65;-79;-59;-86;
2023.5.24_23-6-0_642;-63;-65;-88;-60;-91;
