ScanTime: 5432
ReceiverPos: 1042 247 231

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-30-52_271;-87;-57;-84;-84;-87;
2023.5.24_23-30-57_769;-88;-58;-79;-75;-87;
2023.5.24_23-31-3_281;-87;-58;-84;-73;-95;
2023.5.24_23-31-8_774;-78;-57;-87;-73;-86;
2023.5.24_23-31-14_384;-89;-57;-86;-73;-87;
2023.5.24_23-31-19_864;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-31-25_525;-87;-57;-86;-74;-86;
2023.5.24_23-31-31_22;-90;-57;-86;-84;-88;
2023.5.24_23-31-36_511;-89;-57;-90;-73;-87;
2023.5.24_23-31-42_27;-89;-57;-87;-73;-98;
2023.5.24_23-31-47_529;-76;-57;-86;-84;-97;
2023.5.24_23-31-53_11;noVal;-58;noVal;noVal;noVal;
2023.5.24_23-31-58_498;-76;-57;-88;-72;-86;
2023.5.24_23-32-4_4;noVal;-57;noVal;-73;-86;
