ScanTime: 5432
ReceiverPos: 234 704 96

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_21-58-3_220;-66;-89;-60;-78;-80;
2023.5.24_21-58-8_711;-70;-90;-61;-80;-78;
2023.5.24_21-58-14_234;-68;-89;-63;-76;-84;
2023.5.24_21-58-19_747;-67;-86;-59;-76;-76;
2023.5.24_21-58-25_248;-67;-88;-62;-76;-78;
2023.5.24_21-58-30_734;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-58-36_235;-66;-88;-59;-74;-77;
2023.5.24_21-58-41_735;-67;-86;-65;-74;-82;
2023.5.24_21-58-47_233;-70;-83;-89;-76;-82;
2023.5.24_21-58-52_734;-67;-87;-76;-76;-76;
2023.5.24_21-58-58_244;-67;-86;-62;-75;-81;
2023.5.24_21-59-3_727;noVal;noVal;noVal;noVal;noVal;
2023.5.24_21-59-9_241;-67;-86;-63;-75;-80;
2023.5.24_21-59-14_756;-69;-87;-79;-76;-80;
