ScanTime: 5432
ReceiverPos: 343 367 130

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_22-10-25_193;-94;-87;-71;-76;-72;
2023.5.24_22-10-30_682;-83;-87;-71;-78;-71;
2023.5.24_22-10-36_164;-93;-90;-64;-74;-71;
2023.5.24_22-10-41_647;-87;-86;-67;-76;-72;
2023.5.24_22-10-47_132;-87;-88;-62;-76;-62;
2023.5.24_22-10-52_598;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-10-58_121;-87;-87;-71;-76;-72;
2023.5.24_22-11-3_607;-94;-87;-62;-76;-63;
2023.5.24_22-11-9_112;-94;-88;-61;-76;-71;
2023.5.24_22-11-14_592;-92;-91;-62;-76;-72;
2023.5.24_22-11-20_67;-93;-86;-67;-76;-70;
2023.5.24_22-11-25_547;noVal;noVal;noVal;noVal;noVal;
2023.5.24_22-11-31_40;-87;-87;-71;-76;-72;
2023.5.24_22-11-36_534;-86;-87;-62;-76;-71;
