ScanTime: 5432
ReceiverPos: 569 76 81

Time;Nuki_2E217F4D_723_635_92_Nuki;ET-2820 Series_1003_150_78_Drucker;Smart Tag_167_950_173_Tag;Petkit_K3_484_411_26_Petkit;[TV] Samsung 7 Series (55)_9_253_106_TV
2023.5.24_23-19-32_487;-80;-78;-89;-75;-94;
2023.5.24_23-19-37_994;-83;-79;-83;-86;-93;
2023.5.24_23-19-43_512;-88;-80;-77;-73;-93;
2023.5.24_23-19-49_19;-84;-80;-77;-78;-97;
2023.5.24_23-19-54_525;-83;-79;-77;-76;-92;
2023.5.24_23-20-0_2;noVal;noVal;noVal;noVal;noVal;
2023.5.24_23-20-5_511;-78;-82;-77;-84;-92;
2023.5.24_23-20-11_73;-85;-80;-77;-78;-92;
2023.5.24_23-20-16_553;-84;-80;-83;-76;-92;
2023.5.24_23-20-22_50;-87;-80;-91;-73;-93;
2023.5.24_23-20-27_552;-83;-80;-90;-73;-93;
2023.5.24_23-20-33_33;noVal;noVal;-90;noVal;noVal;
2023.5.24_23-20-38_533;-85;-81;-77;-77;-92;
2023.5.24_23-20-44_27;-79;-78;-77;-78;-91;
